DOI;Name des Verlags, der Plattform, des Server, …;Publikationsform;CC-Lizenz;Euro netto; Euro brutto ;Kostensplitting;Gebührenart;Zuordnung zu Transformationsvertrag;Rechnungsjahr / Lizenzjahr;Publikationsjahr
10.1111/nana.13084;Wiley;journal article;CC BY-NC-ND;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1111/emed.12755;Wiley;journal article;CC BY;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1007/s00330-024-11329-8;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s00181-024-02709-6;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.stueduc.2024.101438;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2025
10.1007/s10997-024-09734-8;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1111/jcal.13123;Wiley;journal article;CC BY;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1016/j.frl.2024.106710;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1007/s00068-024-02675-9;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.pragma.2025.01.002;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1016/S1473-3099(24)00675-3;Elsevier / CPTL;journal article;CC BY-NC-ND;6.450,00;6.901,50;;hybrid-oa;Elsevier (DEAL) 2023-2028;2024;2025
10.1016/j.jde.2025.01.069;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1007/s10494-025-00639-6;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.bja.2024.11.044;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1245/s10434-025-16950-5;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s00062-025-01502-x;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.avsg.2025.01.023;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1007/s42597-024-00138-x;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s00330-025-11409-3;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.knee.2025.01.011;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1111/bjep.12748;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1007/s00029-025-01017-w;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1002/anie.202424952;Wiley;journal article;CC BY;3.150,00;3.370,50;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1007/s43681-025-00666-z;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s11218-025-10036-6;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1177/15266028241230943;Sage;journal article;CC BY-NC;0;0;;hybrid-oa;Sage (BSB) 2024-2025;2024;2024
10.1177/13591053241245263;Sage;journal article;CC BY-NC;0;0;;hybrid-oa;Sage (BSB) 2024-2025;2024;2024
10.1177/27538931241245669;Sage;journal article;CC BY;0;0;;hybrid-oa;Sage (BSB) 2024-2025;2024;2024
10.1177/00961442241260371;Sage;journal article;CC BY-NC;0;0;;hybrid-oa;Sage (BSB) 2024-2025;2024;2024
10.1177/23970022241310999;Sage;journal article;CC BY;0;0;;hybrid-oa;Sage (BSB) 2024-2025;2025;2025
10.1016/j.jclepro.2025.145078;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1007/s13165-025-00491-y;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s12062-025-09481-0;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s00481-025-00851-y;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.gassur.2025.102003;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1007/s11469-025-01466-6;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s44206-025-00175-w;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.ijhydene.2025.02.398;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1111/bjep.12765;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1007/s10698-025-09536-2;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.learninstruc.2025.102089;Elsevier;journal article;CC BY-NC-ND;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1016/j.resconrec.2025.108249;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1002/bse.4215;Wiley;journal article;CC BY;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1016/j.newideapsych.2025.101155;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1016/j.ejrad.2025.112049;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1111/jdv.20639;Wiley;journal article;CC BY;3.150,00;3.370,50;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1007/s42520-025-00639-w;Springer;journal article;CC BY;0;0;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s00063-025-01258-9;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s00501-025-01576-7;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1192/bjp.2025.89;Cambridge University Press;journal article;CC BY;0;0;;hybrid-oa;CUP (BSB) 2025-2027;2025;2025
10.1016/j.scitotenv.2025.179202;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1111/bjep.12776;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1107/S2052520625000587;Wiley;journal article;CC BY;3.150,00;3.370,50;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1007/s00406-025-01998-x;Springer;journal article;CC BY;0;0;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1111/jiec.70027;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1111/bjep.12777;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1007/s42106-025-00341-7;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1038/s41372-025-02282-5;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.jssc.2025.125328;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1038/s41431-025-01844-7;Springer;journal article;CC BY;0;0;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.rser.2025.115697;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1177/20494637251342005;Sage;journal article;CC BY-NC;0;0;;hybrid-oa;Sage (BSB) 2024-2025;2025;2025
10.1007/s10648-025-10017-3;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.cor.2025.107083;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1016/j.trb.2025.103207;Elsevier;journal article;CC BY-NC;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1515/nzsth-2025-0028;De Gruyter;journal article;CC BY;0;0;;hybrid-oa;Walter de Gruyter (SUB Göttingen) 2025-2025;2025;2025
10.1007/s00187-025-00389-6;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s10143-025-03523-z;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s10648-025-10020-8;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.apenergy.2025.125890;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1109/TAFFC.2025.3562552;IEEE;journal article;CC BY;0;0;;hybrid-oa;;2025;2025
10.1016/j.ctrv.2025.102942;Elsevier;journal article;CC BY-NC-ND;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1111/jne.70039;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1007/s00234-025-03620-2;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1038/s41431-025-01851-8;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1111/ijd.17793;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1111/all.16558;Wiley;journal article;CC BY;3.150,00;3.370,50;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1111/ddg.15776;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1007/s00441-025-03973-3;Springer ;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s00481-025-00861-w;Springer;journal article;CC BY;0;0;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s10957-025-02682-9;Springer ;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s10661-025-14089-0;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.rsase.2025.101584;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1111/abac.12370;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1016/j.numecd.2025.104123;Elsevier;journal article;CC BY-NC-ND;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1007/s00113-025-01572-z;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1111/eci.70078;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1007/s00066-025-02407-x;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.psychres.2025.116536;Elsevier;journal article;CC BY-NC-ND;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1007/s10554-025-03419-5;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1002/pbc.31823;Wiley;journal article;CC BY;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1016/j.jcrc.2025.155123;Elsevier;journal article;CC BY-NC-ND;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1007/s10961-025-10223-9;Springer;journal article;CC BY-NC-SA;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.cgh.2025.04.010;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1007/s10049-025-01547-y;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s10049-025-01560-1;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1017/fms.2025.10054;Cambridge University Press;journal article;CC BY;0;0;;hybrid-oa;CUP (BSB) 2025-2027;2025;2025
10.1002/bse.70019;Wiley;journal article;CC BY;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1007/s00104-025-02317-9;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s00066-025-02416-w;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s10479-025-06649-x;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.comnet.2025.111395;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1016/j.learninstruc.2025.102152;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1007/s40429-025-00671-6;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s00180-025-01645-y;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s10961-025-10252-4;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.jssc.2025.125466;Elsevier;journal article;CC BY-NC-ND;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1111/jiec.70067;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1111/bjet.13609;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1016/j.chb.2025.108738;Elsevier;journal article;CC BY-NC-ND;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1002/ejic.202500190;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1016/j.ejor.2025.05.043;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1007/s00574-025-00464-5;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.fusengdes.2025.115244;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1007/s00146-025-02444-1;Springer;journal article;CC BY-NC-ND;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.lindif.2025.102746;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1063/5.0277769;AIP;journal article;CC BY;0;0;;hybrid-oa;AIP (TIB) 2024-2026;2025;2025
10.1016/j.agrformet.2025.110716;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1007/s13563-025-00529-3;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.bpj.2025.06.041;Elsevier;journal article;CC BY;6.708,00;7.177,56;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1007/s11060-025-05152-4;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s00704-025-05656-z;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s42597-025-00146-5;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s11239-025-03153-8;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.rmed.2025.108079;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1177/01956574251366190;Sage;journal article;CC BY-NC;0;0;;hybrid-oa;Sage (BSB) 2024-2025;2025;2025
10.1515/flin-2025-2022;De Gruyter;journal article;CC BY;0;0;;hybrid-oa;Walter de Gruyter (SUB Göttingen) 2025-2025;2025;2025
10.1002/eji.70015;Wiley;journal article;CC BY;3.150,00;3.370,50;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1007/s10665-025-10469-0;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1002/rfe.70011;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1007/s00105-025-05550-9;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1111/exd.70141;Wiley;journal article;CC BY-NC-ND;3.150,00;3.370,50;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1016/j.apenergy.2025.126489;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1111/joac.70033;Wiley;journal article;CC BY;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1002/adom.202501361;Wiley;journal article;CC BY-NC;3.150,00;3.370,50;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1016/j.coesh.2025.100634;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1007/s11301-025-00547-z;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s00406-025-02086-w;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s42979-025-04296-4;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1002/joc.70088;Wiley;journal article;CC BY;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1016/j.frl.2025.108167;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1016/j.jimonfin.2025.103416;Elsevier;journal article;CC BY-NC;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1007/s00332-025-10202-2;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s11251-025-09745-4;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.jallcom.2025.182887;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1002/rfe.70024;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1016/j.neucom.2025.131358;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1007/s11187-025-01107-1;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s15010-025-02632-7;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s12254-025-01067-y;Springer;journal article;CC BY;0;0;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.tsf.2025.140776;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1007/s11673-025-10479-8;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s40263-025-01225-0;Springer;journal article;CC BY-NC;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s00105-025-05579-w;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.sysconle.2025.106229;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1016/j.matpur.2025.103779;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1111/ddg.15980;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1111/ejn.70263;Wiley;journal article;CC BY;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1002/pbc.32062;Wiley;journal article;CC BY;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1016/j.cpc.2025.109868;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1007/s00216-025-06131-4;Springer;journal article;CC BY-NC;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1016/j.wavemoti.2025.103642;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1002/mde.70030;Wiley;journal article;CC BY;2.200,00;2.354,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1111/fire.70027;Wiley;journal article;CC BY;2.700,00;2.889,00;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1002/chem.202502439;Wiley;journal article;CC BY;3.150,00;3.370,50;;hybrid-oa;Wiley (DEAL) 2024-2028;2025;2025
10.1016/j.ijhcs.2025.103632;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1016/j.fuel.2025.137076;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1016/j.na.2025.113971;Elsevier;journal article;CC BY;2.575,00;2.755,25;;hybrid-oa;Elsevier (DEAL) 2023-2028;2025;2025
10.1007/s11846-025-00946-2;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
10.1007/s00526-025-03177-1;Springer;journal article;CC BY;2.600,00;2.782,00;;hybrid-oa;Springer (DEAL) 2024-2028;2025;2025
