"Article Title","period","Journal","Publisher","Digital Object Identifier","URL","Euro","is_hybrid","Date Funds Disbursed","issn","institution"
"Conserved roles for Polycomb Repressive Complex 2 in the regulation of lateral organ development in Aquilegia x coerulea 'Origam",2013,"BMC Plant Biology","BioMed Central","10.1186/1471-2229-13-185","http://bmcplantbiol.biomedcentral.com/articles/10.1186/1471-2229-13-185",1267.64,FALSE,"11/30/2013","1471-2229","HOPE Fund - OSC Harvard University Library"
"Social Influences on Inequity Aversion in Children",2013,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0080966","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0080966",610.09,FALSE,"11/30/2013",,"HOPE Fund - OSC Harvard University Library"
"Two randomized trials provide no consistent evidence for nonmusical cognitive benefits of brief preschool music enrichment",2013,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0082007","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0082007",762.99,FALSE,"11/30/2013",,"HOPE Fund - OSC Harvard University Library"
"The Evolution and Functional Significance of Nested Gene Structures in Drosophila melanogaster",2013,"Genome Biology and Evolution","Oxford Press","10.1093/gbe/evt149","http://gbe.oxfordjournals.org/content/5/10/1978",564.90,FALSE,"11/22/2013",,"HOPE Fund - OSC Harvard University Library"
"Medieval Irish chronicles reveal persistent volcanic forcing of severe winter cold events, 431–1649 CE",2013,"Environmental Research Letters","Institute of Physics","10.1088/1748-9326/8/2/024035","http://iopscience.iop.org/article/10.1088/1748-9326/8/2/024035/meta",241.02,FALSE,"11/30/2013",,"HOPE Fund - OSC Harvard University Library"
"The future costs of nuclear power using multiple expert elicitations: effects of RD&D and elicitation design",2013,"Environmental Research Letters","Institute of Physics","10.1088/1748-9326/8/3/034020","http://iopscience.iop.org/article/10.1088/1748-9326/8/3/034020/meta",402.21,FALSE,"11/30/2013",,"HOPE Fund - OSC Harvard University Library"
"Functional characterization of bacteria isolated from ancient Arctic soil exposes diverse resistance mechanisms to modern antibi",2013,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0069533","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0069533",677.88,FALSE,"11/30/2013",,"HOPE Fund - OSC Harvard University Library"
"Anaerobic oxidation of short-chain alkanes in hydrothermal sediments: potential influences on sulfur cycling and microbial",2013,"Frontiers of Microbiology","Frontiers","10.3389/fmicb.2013.00110","http://journal.frontiersin.org/article/10.3389/fmicb.2013.00110/full",597.06,FALSE,"6/10/2013",,"HOPE Fund - OSC Harvard University Library"
"Developmental Gene Discovery in a Hemimetabolous Insect: De Novo Assembly and Annotation of a Transcriptome for the Cricket Gryl",2013,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0061479","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0061479",508.41,FALSE,"6/10/2013",,"HOPE Fund - OSC Harvard University Library"
"Acute stress selectively reduces reward sensitivity",2013,"Frontiers in Human Nuerosciences","Frontiers","10.3389/fnhum.2013.00133","http://journal.frontiersin.org/article/10.3389/fnhum.2013.00133/full",706.98,FALSE,"5/24/2013",,"HOPE Fund - OSC Harvard University Library"
"Vacuum Instabilities with a Wrong-Sign Higgs-Gluon-Gluon Amplitude",2013,"New Journal of Physics","IOP Publishing","10.1088/1367-2630/15/4/043003","http://iopscience.iop.org/article/10.1088/1367-2630/15/4/043003/meta",1084.61,FALSE,"4/5/2013",,"HOPE Fund - OSC Harvard University Library"
"Predicting climate change impacts on the amount and duration of autumn colors in a New England forest",2013,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0057373","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0057373",762.62,FALSE,"3/28/2013",,"HOPE Fund - OSC Harvard University Library"
"Evidence against a germ plasm in the milkweed bug Oncopeltus fasciatus, a hemimetabolous insect",2013,"Biology Open","Company of Biologists","10.1242/bio.20134390","http://bio.biologists.org/content/2/6/556",1016.82,FALSE,"4/5/2013",,"HOPE Fund - OSC Harvard University Library"
"Host Longevity and Parasite Species Richness in Mammals",2013,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0042190","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0042190",677.88,FALSE,"3/28/2013",,"HOPE Fund - OSC Harvard University Library"
"The braincase of Eocaecilia micropodia (Lissamphibia, Gymnophiona) and the origin of caecilians",2013,"PLoS ONE","Public Library of Science","10.1371/journal.pone.0050743","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0050743",677.88,FALSE,"3/12/2013",,"HOPE Fund - OSC Harvard University Library"
